Mach, Beta, AOA, Lift, Drag, Moment, L/D, CL, CD
0.950000, 0.000000, 11.000000, 4840573.280356, 1149587.370640, 1318.629624, 4.210705, 1.913859, 0.454522
0.990000, 0.000000, -2.000000, -76730.560791, 383306.926294, 220.445489, -0.200180, -0.027936, 0.139552
0.990000, 0.000000, -1.000000, 413923.310746, 371897.760861, 1741.300928, 1.113003, 0.150699, 0.135398
0.990000, 0.000000, 0.000000, 895536.550816, 370322.955368, -1803.440961, 2.418258, 0.326042, 0.134825
0.990000, 0.000000, 1.000000, 1365623.163574, 383114.826727, -2624.950811, 3.564527, 0.497188, 0.139482
0.990000, 0.000000, 2.000000, 1802109.746791, 413066.304349, -4894.366444, 4.362761, 0.656102, 0.150387
0.990000, 0.000000, 3.000000, 2206497.531725, 460461.132474, -2342.265978, 4.791930, 0.803329, 0.167642
0.990000, 0.000000, 5.000000, 2990174.304281, 594965.162362, -1589.160071, 5.025797, 1.088645, 0.216611
0.990000, 0.000000, 7.000000, 3754137.502900, 775139.176836, 285.627799, 4.843179, 1.366785, 0.282208
0.990000, 0.000000, 9.000000, 4520819.755234, 1006745.151511, 237.118043, 4.490530, 1.645914, 0.366530
0.990000, 0.000000, 11.000000, 5273331.802689, 1294610.446558, -1954.667443, 4.073296, 1.919884, 0.471334
1.000000, 0.000000, -2.000000, -89962.974794, 406981.745269, 5744.667464, -0.221049, -0.032101, 0.145223
1.000000, 0.000000, -1.000000, 401025.129409, 391343.969206, 2393.664839, 1.024738, 0.143097, 0.139643
1.000000, 0.000000, 0.000000, 896373.307808, 389717.370657, 1611.024608, 2.300060, 0.319852, 0.139063
1.000000, 0.000000, 1.000000, 1379188.710632, 403147.454196, -2688.113549, 3.421053, 0.492135, 0.143855
1.000000, 0.000000, 2.000000, 1832255.498787, 432172.888638, -3306.691719, 4.239635, 0.653802, 0.154212
1.000000, 0.000000, 3.000000, 2255613.530500, 481480.767559, -2399.722037, 4.684743, 0.804869, 0.171806
1.000000, 0.000000, 5.000000, 3051349.155420, 618609.685343, -4225.850450, 4.932592, 1.088810, 0.220738
1.000000, 0.000000, 7.000000, 3837126.538550, 803710.243574, -2100.067316, 4.774266, 1.369198, 0.286787
1.000000, 0.000000, 9.000000, 4606524.299352, 1037144.251432, -3226.188804, 4.441546, 1.643742, 0.370083
1.000000, 0.000000, 11.000000, 5358275.836799, 1323644.300634, -2642.886050, 4.048124, 1.911989, 0.472315
1.050000, 0.000000, -2.000000, -183962.528054, 467420.112169, -11981.670347, -0.393570, -0.059540, 0.151283
1.050000, 0.000000, -1.000000, 320949.925533, 452383.447013, -10795.850543, 0.709464, 0.103877, 0.146416
1.050000, 0.000000, 0.000000, 836722.083721, 451273.142330, -7481.834191, 1.854137, 0.270809, 0.146057
1.050000, 0.000000, 1.000000, 1348305.830683, 464127.988958, -6485.200594, 2.905030, 0.436385, 0.150217
1.050000, 0.000000, 2.000000, 1863258.162047, 493339.497152, -7063.309541, 3.776827, 0.603052, 0.159672
1.050000, 0.000000, 3.000000, 2354099.400281, 537327.418792, -5067.592260, 4.381127, 0.761915, 0.173908
1.050000, 0.000000, 5.000000, 3239649.147439, 679633.867359, -1135.785481, 4.766756, 1.048527, 0.219967
1.050000, 0.000000, 7.000000, 4105148.565596, 867111.382397, 2517.410112, 4.734281, 1.328650, 0.280645
1.050000, 0.000000, 9.000000, 4920989.602688, 1113913.110536, -303.695557, 4.417750, 1.592701, 0.360523
1.050000, 0.000000, 11.000000, 5726354.524644, 1419473.351541, -7679.408779, 4.034140, 1.853361, 0.459419
1.300000, 0.000000, -2.000000, -840987.646763, 650816.054350, 3487.104297, -1.292205, -0.177567, 0.137414
1.300000, 0.000000, -1.000000, -208903.413968, 622127.972328, 10606.727857, -0.335788, -0.044108, 0.131357
1.300000, 0.000000, 0.000000, 428371.110346, 614226.322675, 11487.714145, 0.697416, 0.090447, 0.129689
1.300000, 0.000000, 1.000000, 1071717.112050, 626519.994887, 13694.646378, 1.710587, 0.226284, 0.132284
1.300000, 0.000000, 2.000000, 1724323.312030, 659883.066760, 16405.209536, 2.613074, 0.364076, 0.139329
1.300000, 0.000000, 3.000000, 2380639.444454, 714575.946070, 13657.809814, 3.331542, 0.502652, 0.150877
1.300000, 0.000000, 5.000000, 3694713.660010, 888292.518690, -1016.568616, 4.159343, 0.780107, 0.187555
1.300000, 0.000000, 7.000000, 4990624.116495, 1146792.429180, -8455.307352, 4.351811, 1.053728, 0.242135
1.300000, 0.000000, 9.000000, 6273838.151510, 1493298.343675, -16450.855806, 4.201329, 1.324668, 0.315297
1.300000, 0.000000, 11.000000, 7503710.872677, 1919920.207011, -9426.218093, 3.908345, 1.584345, 0.405375
1.600000, 0.000000, -2.000000, -1245392.763392, 892706.731904, 5144.899927, -1.395075, -0.173591, 0.124431
1.600000, 0.000000, -1.000000, -493553.463745, 853117.702281, 5768.075663, -0.578529, -0.068795, 0.118913
1.600000, 0.000000, 0.000000, 244923.606120, 836434.392550, 998.086487, 0.292819, 0.034139, 0.116588
1.600000, 0.000000, 1.000000, 997256.207913, 845777.532219, -583.360504, 1.179100, 0.139004, 0.117890
1.600000, 0.000000, 2.000000, 1756767.268020, 879592.983325, -1423.773373, 1.997250, 0.244869, 0.122603
1.600000, 0.000000, 3.000000, 2519497.117780, 939516.569893, 973.242782, 2.681695, 0.351184, 0.130956
1.600000, 0.000000, 5.000000, 4057401.134410, 1134389.542879, 8744.662665, 3.576726, 0.565546, 0.158118
1.600000, 0.000000, 7.000000, 5600408.921615, 1434642.581285, 15424.757716, 3.903696, 0.780621, 0.199970
1.600000, 0.000000, 9.000000, 7139440.883770, 1842791.234910, 11424.603546, 3.874254, 0.995141, 0.256860
1.600000, 0.000000, 11.000000, 8689308.118256, 2363036.442881, 5885.519694, 3.677179, 1.211171, 0.329375
2.000000, 0.000000, -2.000000, -1889960.759337, 1308420.705736, -17764.257417, -1.444460, -0.168598, 0.116721
2.000000, 0.000000, -1.000000, -966540.865473, 1251589.832821, -9371.696401, -0.772250, -0.086222, 0.111651
2.000000, 0.000000, 0.000000, -22221.230115, 1215025.864471, -25926.542867, -0.018289, -0.001982, 0.108389
2.000000, 0.000000, 1.000000, 958767.173066, 1236375.966364, -77.259493, 0.775466, 0.085529, 0.110294
2.000000, 0.000000, 2.000000, 1760846.254036, 1274459.325054, 4947.037554, 1.381642, 0.157080, 0.113691
2.000000, 0.000000, 3.000000, 3023253.445894, 1365680.082097, 18403.074687, 2.213735, 0.269696, 0.121829
2.000000, 0.000000, 5.000000, 4700612.108433, 1558661.506349, 10682.159295, 3.015800, 0.419329, 0.139044
2.000000, 0.000000, 7.000000, 6591122.737298, 1917954.960732, 18218.686684, 3.436537, 0.587976, 0.171096
2.000000, 0.000000, 9.000000, 8310291.208866, 2375526.969026, 27555.501236, 3.498294, 0.741338, 0.211914
2.000000, 0.000000, 11.000000, 10317073.028300, 3027586.317119, 25888.237309, 3.407689, 0.920358, 0.270083
