Mach, Beta, AOA, Lift, Drag, Moment,L/D,CL,CD
0.7,0,3,1008082.017,119179.2893,-8206.370758,8.458534,0.734108,0.086789
0.7,0,5,1357666.989,160480.6778,-14040.22761,8.460003,0.988684,0.116866
0.7,0,7,1709722.228,218179.4123,-17697.30696,7.836313,1.245059,0.158883
0.7,0,9,2053303.057,295103.5944,-17986.25576,6.957906,1.495262,0.214901
0.7,0,11,2368662.076,395694.0828,7692.681111,5.986094,1.724913,0.288153
0.7,1,-2,143506.8085,87353.85637,-49342.29605,1.642822,0.104505,0.063613
0.7,1,-1,316664.5662,82564.46463,-53570.1541,3.835361,0.230602,0.060125
0.7,1,0,489459.1147,85247.30919,-57421.83955,5.741637,0.356435,0.062079
0.7,1,1,661628.7111,93574.7019,-61131.84428,7.070594,0.481813,0.068143
0.7,1,2,833852.2157,104935.2472,-66089.19016,7.94635,0.60723,0.076416
0.7,1,3,1005954.453,119120.5866,-71734.06957,8.444841,0.732559,0.086746
0.7,1,5,1356924.416,160392.7527,-87539.32708,8.460011,0.988143,0.116802
0.7,1,7,1708578.334,218617.4686,-101636.1828,7.815379,1.244226,0.159202
0.7,1,9,2054122.768,295738.8463,-115226.5236,6.945732,1.495859,0.215364
0.7,1,11,2372306.032,395507.5172,-131894.0865,5.998131,1.727567,0.288018
0.7,2,-2,141796.4836,86888.70097,-91184.05105,1.631932,0.103259,0.063274
0.7,2,-1,314820.1857,85811.09319,-99756.1593,3.668759,0.229259,0.06249
0.7,2,0,487355.6037,87166.33614,-108573.2726,5.591099,0.354903,0.063477
0.7,2,1,659345.789,96565.9726,-116542.8257,6.827931,0.480151,0.070322
0.7,2,2,830973.3518,108012.6332,-125474.3528,7.693298,0.605134,0.078657
0.7,2,3,1005638.287,119946.9784,-135610.8911,8.384024,0.732329,0.087348
0.7,2,5,1354203.403,160504.7241,-160528.968,8.437156,0.986162,0.116883
0.7,2,7,1705858.012,217596.2884,-185122.7042,7.839555,1.242244,0.158459
0.7,2,9,2051949.84,295320.4096,-209798.7578,6.948215,1.494276,0.215059
0.7,2,11,2373891.814,395395.3084,-234897.5239,6.003844,1.728722,0.287936
0.9,0,-2,660351.6906,225864.852,-1021.188947,2.923658,0.290905,0.0995
0.9,0,-1,1004816.268,227472.743,-4007.714322,4.417304,0.442651,0.100209
0.9,0,0,1328644.586,246264.1963,-4875.141,5.3952,0.585307,0.108487
0.9,0,1,1643060.68,275802.129,-5058.130363,5.957389,0.723817,0.121499
0.9,0,2,1950552.028,316438.703,-5109.526983,6.164075,0.859276,0.139401
0.9,0,3,2254959.966,365319.9348,-5261.440348,6.172562,0.993377,0.160934
0.9,0,5,2858146.253,490362.5676,-4547.965581,5.828639,1.259099,0.216019
0.9,0,7,3459715.489,647121.1581,1091.21159,5.346318,1.524108,0.285076
0.9,0,9,4036922.439,843602.3463,6195.643504,4.785338,1.778385,0.371632
0.9,0,11,4563534.171,1067710.608,-39363.15918,4.27413,2.010373,0.470358
0.9,1,-2,655777.6235,224624.9721,-76663.1066,2.919433,0.28889,0.098954
0.9,1,-1,1003713.663,227126.6194,-81527.27004,4.419181,0.442166,0.100056
0.9,1,0,1328418.917,246593.8747,-88282.87407,5.387072,0.585208,0.108632
0.9,1,1,1641614.293,278536.9912,-92254.88858,5.893703,0.72318,0.122704
0.9,1,2,1949251.619,315332.5575,-96821.19794,6.181574,0.858703,0.138913
0.9,1,3,2253599.726,364989.4737,-103596.6134,6.174424,0.992778,0.160789
0.9,1,5,2857688.401,487488.0484,-113355.6351,5.862069,1.258897,0.214753
0.9,1,7,3461704.178,650640.3353,-122434.8793,5.320457,1.524984,0.286626
0.9,1,9,4050404.833,848918.3973,-128259.1219,4.771253,1.784324,0.373974
0.9,1,11,4578468.422,1069070.168,-115855.2024,4.282664,2.016952,0.470957
0.9,2,-2,589039.6949,218152.2423,-64759.57598,2.700131,0.25949,0.096103
0.9,2,-1,953781.269,223343.3472,-85925.92966,4.270471,0.420169,0.098389
0.9,2,0,1300395.698,243220.5421,-135206.7697,5.34657,0.572863,0.107146
0.9,2,1,1639000.882,277128.5385,-181866.2998,5.914226,0.722029,0.122083
0.9,2,2,1946475.68,317070.0873,-191852.4115,6.138945,0.85748,0.139679
0.9,2,3,2250419.42,366040.3483,-203256.5093,6.148009,0.991377,0.161252
0.9,2,5,2854879.042,487509.9067,-225147.6213,5.856043,1.257659,0.214763
0.9,2,7,3456559.549,644832.6516,-246314.4508,5.360398,1.522717,0.284068
0.9,2,9,4043651.851,846041.5709,-253488.3063,4.779495,1.781349,0.372707
0.9,2,11,4556803.556,1063838.176,-297056.3233,4.283362,2.007408,0.468652
0.95,0,-2,240143.4401,315696.4481,-9936.494146,0.760678,0.094948,0.12482
0.95,0,-1,649127.1061,305426.7389,-10870.3036,2.125312,0.256651,0.120759
0.95,0,0,1040331.039,308471.4755,-10576.05357,3.372536,0.411325,0.121963
0.95,0,1,1403737.303,324877.4392,-5553.309509,4.320821,0.555008,0.12845
0.95,0,2,1762185.822,361660.0513,-1469.046528,4.872492,0.69673,0.142993
0.95,0,3,2109865.778,406126.712,2422.840615,5.195092,0.834196,0.160574
0.95,0,5,2804223.166,532276.2966,3840.308552,5.26836,1.10873,0.210451
0.95,0,7,3497984.355,698158.7417,4400.91731,5.010299,1.383028,0.276037
0.95,0,9,4178329.231,913810.0849,5401.125654,4.572426,1.652022,0.361301
0.95,0,11,4837482.807,1168276.885,-98.538568,4.140699,1.912637,0.461912
0.95,1,-2,237737.9332,313967.7515,-78548.88663,0.757205,0.093996,0.124136
0.95,1,-1,648030.7669,303727.1047,-88223.07317,2.133595,0.256217,0.120087
0.95,1,0,1035636.39,307110.3041,-95268.71582,3.372197,0.409468,0.121425
0.95,1,1,1403371.263,325571.577,-101692.9047,4.310485,0.554863,0.128724
0.95,1,2,1760276.179,361419.966,-106767.4875,4.870445,0.695975,0.142898
0.95,1,3,2108679.709,406892.9363,-108345.4155,5.182394,0.833727,0.160877
0.95,1,5,2803690.035,534298.8343,-117964.9239,5.247419,1.108519,0.21125
0.95,1,7,3495081.617,702484.8405,-127809.7225,4.975313,1.38188,0.277747
0.95,1,9,4178125.676,912582.8895,-133444.8607,4.578352,1.651941,0.360816
0.95,1,11,4839989.85,1165593.622,-147968.0568,4.152382,1.913628,0.460851
0.95,2,-2,241954.7192,316259.9828,-148290.6009,0.76505,0.095664,0.125042
0.95,2,-1,645997.6289,303494.4123,-169077.6171,2.128532,0.255414,0.119995
0.95,2,0,1033858.156,306769.4229,-182817.5674,3.370147,0.408765,0.12129
0.95,2,1,1404295.861,326586.2927,-199261.4479,4.299923,0.555228,0.129125
0.95,2,2,1758013.423,358618.3165,-214280.8461,4.902185,0.695081,0.14179
0.95,2,3,2106495.515,407117.0853,-221570.1332,5.174176,0.832863,0.160965
0.95,2,5,2799899.981,530258.3227,-242338.0668,5.280257,1.10702,0.209653
0.95,2,7,3491569.834,696298.3889,-261564.9582,5.014474,1.380492,0.275301
0.95,2,9,4174348.209,909916.363,-275419.8711,4.587617,1.650448,0.359761
0.95,2,11,4834386.773,1165829.168,-297896.9983,4.146737,1.911413,0.460944
0.99,0,-2,-83068.40669,399120.4353,-10554.68015,-0.208129,-0.030243,0.145309
0.99,0,-1,392970.2578,384469.2739,-3946.395481,1.022111,0.14307,0.139975
0.99,0,0,877456.103,384122.3584,-5316.500117,2.284314,0.319459,0.139849
0.99,0,1,1359495.915,397959.9667,-6404.64596,3.416162,0.494957,0.144887
0.99,0,2,1804852.285,429794.7169,-2151.269383,4.199336,0.6571,0.156477
0.99,0,3,2213499.207,480290.3386,2821.305338,4.608669,0.805878,0.174861
0.99,0,5,3004355.969,621172.1602,2957.035981,4.836591,1.093808,0.226153
0.99,0,7,3788790.913,808311.9006,2625.195061,4.687288,1.379401,0.294286
0.99,0,9,4551594.542,1045122.87,3686.744842,4.355081,1.657118,0.380502
0.99,0,11,5286486.822,1331192.4,974.734216,3.971242,1.924673,0.484653
0.99,1,-2,-81179.62103,398426.2806,-99446.03593,-0.203751,-0.029555,0.145057
0.99,1,-1,392396.6843,384111.2269,-96510.13383,1.02157,0.142862,0.139845
0.99,1,0,877254.3844,383996.8377,-100999.1168,2.284535,0.319386,0.139803
0.99,1,1,1359762.236,397274.259,-110562.7768,3.422729,0.495054,0.144637
0.99,1,2,1803563.874,429291.7957,-122102.0424,4.201254,0.656631,0.156294
0.99,1,3,2214362.95,480209.637,-130935.7165,4.611242,0.806192,0.174832
0.99,1,5,3005094.066,620354.9125,-141088.9187,4.844153,1.094077,0.225855
0.99,1,7,3783257.192,806920.0393,-151979.3153,4.688516,1.377386,0.293779
0.99,1,9,4549212.14,1044408.223,-154079.1233,4.35578,1.656251,0.380242
0.99,1,11,5282817.18,1330391.918,-164935.5701,3.970873,1.923337,0.484361
0.99,2,-2,-84191.96927,398183.2481,-187822.043,-0.21144,-0.030652,0.144968
0.99,2,-1,389770.7863,383396.5875,-189339.4648,1.016626,0.141905,0.139585
0.99,2,0,876501.1863,382624.1515,-196955.4291,2.290763,0.319111,0.139304
0.99,2,1,1359730.595,396048.6883,-217784.6468,3.433241,0.495043,0.144191
0.99,2,2,1803140.846,428367.141,-247761.6967,4.209335,0.656477,0.155957
0.99,2,3,2214426.465,478858.7064,-266086.2196,4.624384,0.806216,0.17434
0.99,2,5,3003975.925,619503.9644,-290633.9119,4.849002,1.09367,0.225545
0.99,2,7,3783451.217,808029.0783,-312618.8251,4.682321,1.377457,0.294183
0.99,2,9,4540237.39,1044428.62,-329283.5939,4.347102,1.652983,0.38025
0.99,2,11,5267497.417,1328166.744,-340242.03,3.965991,1.91776,0.483551
1,0,-2,-110058.6328,424788.1976,-11336.30548,-0.259091,-0.039272,0.151577
1,0,-1,376676.0914,409025.6053,-6799.052004,0.920911,0.134409,0.145952
1,0,0,870619.1028,407424.0488,-5185.665107,2.136887,0.310662,0.145381
1,0,1,1363469.715,419227.0282,-4019.646074,3.252342,0.486526,0.149592
1,0,2,1825714.879,450638.057,-1869.811881,4.0514,0.651468,0.160801
1,0,3,2244725.144,498295.6642,752.753271,4.504806,0.800983,0.177806
1,0,5,3046761.747,636937.0288,4042.464233,4.783458,1.087173,0.227278
1,0,7,3838454.948,827255.4615,1151.625503,4.639987,1.369672,0.295189
1,0,9,4613612.756,1065747.967,4301.968068,4.32899,1.646271,0.38029
1,0,11,5353212.03,1352751.137,863.027361,3.957278,1.910182,0.482701
1,1,-2,-111252.983,425724.1155,-97644.68786,-0.261326,-0.039698,0.151911
1,1,-1,375878.65,409059.056,-98315.476,0.918886,0.134124,0.145964
1,1,0,870078.0805,406625.7472,-103388.3501,2.139752,0.310469,0.145096
1,1,1,1362872.223,418356.1676,-111761.7645,3.257684,0.486312,0.149282
1,1,2,1829541.895,448053.9137,-123099.4066,4.083307,0.652834,0.159879
1,1,3,2248735.918,498810.8941,-133613.0573,4.508193,0.802414,0.17799
1,1,5,3050937.306,639178.6268,-146552.9481,4.773215,1.088663,0.228078
1,1,7,3836048.499,826861.9996,-157815.8393,4.639285,1.368814,0.295048
1,1,9,4608903.345,1066642.617,-163823.4468,4.320944,1.644591,0.380609
1,1,11,5348751.128,1351015.451,-173599.1406,3.95906,1.90859,0.482082
1,2,-2,-110743.6327,424068.6421,-197075.1509,-0.261146,-0.039517,0.15132
1,2,-1,376031.0212,407789.028,-200908.558,0.922121,0.134179,0.145511
1,2,0,870737.6821,405568.6391,-208687.4493,2.146955,0.310705,0.144719
1,2,1,1366792.586,418554.2607,-224768.7074,3.265509,0.487711,0.149352
1,2,2,1826138.32,448724.1813,-251347.3206,4.069623,0.651619,0.160118
1,2,3,2249324.701,497082.0847,-273820.2432,4.525057,0.802625,0.177373
1,2,5,3047158.692,637660.2936,-301787.7231,4.778655,1.087315,0.227536
1,2,7,3830846.139,828028.5213,-329132.1078,4.626466,1.366957,0.295465
1,2,9,4596682.547,1063850.031,-343851.6078,4.320799,1.64023,0.379613
1,2,11,5335339.307,1349510.462,-357461.8236,3.953537,1.903804,0.481545
1.05,0,-2,-167246.8996,463867.2304,-9037.756601,-0.360549,-0.05413,0.150133
1.05,0,-1,346861.8299,447558.1272,-9107.733772,0.77501,0.112263,0.144854
1.05,0,0,848881.1807,449577.1192,-2587.691326,1.888177,0.274744,0.145508
1.05,0,1,1340842.426,470442.6221,-3771.633651,2.850172,0.43397,0.152261
1.05,0,2,1856706.26,500657.3271,-4157.604908,3.708537,0.600931,0.16204
1.05,0,3,2351050.373,546118.6909,375.373188,4.305017,0.760928,0.176754
1.05,0,5,3245284.849,690534.5134,4589.076349,4.699671,1.050351,0.223495
1.05,0,7,4097681.397,889145.8837,80.528528,4.608559,1.326233,0.287776
1.05,0,9,4931715.317,1134987.198,3988.313281,4.345173,1.596172,0.367344
1.05,0,11,5711863.147,1433997.5,1248.099971,3.983175,1.84867,0.46412
1.05,1,-2,-158792.1166,462706.9443,-117889.8051,-0.343181,-0.051394,0.149757
1.05,1,-1,325297.5868,454063.8923,-115923.0759,0.716414,0.105284,0.14696
1.05,1,0,823433.7576,457110.4224,-123752.3413,1.801389,0.266508,0.147946
1.05,1,1,1352762.444,468903.8925,-130222.5922,2.884946,0.437828,0.151763
1.05,1,2,1860255.067,500023.2727,-134530.5735,3.720337,0.60208,0.161835
1.05,1,3,2350285.295,546431.5695,-149651.0232,4.301152,0.76068,0.176855
1.05,1,5,3249616.171,689198.722,-173510.8638,4.715064,1.051753,0.223062
1.05,1,7,4092630.789,889886.2504,-190019.5444,4.599049,1.324598,0.288016
1.05,1,9,4921210.015,1133337.954,-199673.6335,4.342226,1.592772,0.36681
1.05,1,11,5717745.56,1438447.585,-210812.2378,3.974942,1.850574,0.46556
1.05,2,-2,-192657.185,472594.5972,-231151.2421,-0.407658,-0.062354,0.152957
1.05,2,-1,311876.3651,456619.12,-236498.0663,0.683012,0.10094,0.147787
1.05,2,0,823288.2756,457191.1996,-247539.5025,1.800753,0.266461,0.147972
1.05,2,1,1332634.737,472248.4149,-258079.3817,2.821894,0.431313,0.152845
1.05,2,2,1849688.795,502041.3633,-272840.1794,3.684335,0.59866,0.162488
1.05,2,3,2340225.333,547707.9106,-307256.658,4.272762,0.757425,0.177268
1.05,2,5,3243649.34,689178.0759,-352647.9177,4.706547,1.049822,0.223056
1.05,2,7,4081758.791,883051.3169,-385001.4432,4.622335,1.32108,0.285804
1.05,2,9,4917661.551,1136909.975,-403507.0499,4.325463,1.591623,0.367966
1.05,2,11,5700626.883,1435697.445,-419895.8397,3.970632,1.845034,0.46467
1.3,0,-2,-824854.0837,659277.5435,-14669.71928,-1.251148,-0.174161,0.139201
1.3,0,-1,-195729.5815,631658.5079,-13131.47018,-0.309866,-0.041327,0.133369
1.3,0,0,437549.7837,625362.9945,-7613.156183,0.699673,0.092385,0.13204
1.3,0,1,1079928.654,640099.435,-3946.154254,1.687126,0.228018,0.135152
1.3,0,2,1730051.823,676027.0395,5481.947448,2.559146,0.365286,0.142737
1.3,0,3,2385595.087,732002.7044,12047.67903,3.258998,0.503698,0.154556
1.3,0,5,3696679.442,909132.5325,19257.2069,4.066161,0.780522,0.191956
