Mach, Beta, AOA, Lift, Drag, Moment, L/D, CL, CD
0.950000, 0.000000, 11.000000, 4842240.438120, 1152714.465960, -14263.249638, 4.200728, 1.914518, 0.455759
0.990000, 0.000000, -2.000000, -17284.695968, 385378.080191, 1419.056104, -0.044851, -0.006293, 0.140306
0.990000, 0.000000, -1.000000, 476629.785808, 369747.187530, -1242.043959, 1.289069, 0.173529, 0.134615
0.990000, 0.000000, 0.000000, 964203.951716, 368251.254056, -865.388236, 2.618332, 0.351042, 0.134071
0.990000, 0.000000, 1.000000, 1426572.105664, 381555.297786, 1818.688825, 3.738834, 0.519378, 0.138914
0.990000, 0.000000, 2.000000, 1868798.290602, 411190.686233, 1695.105716, 4.544846, 0.680381, 0.149704
0.990000, 0.000000, 3.000000, 2270432.561617, 459524.754752, 4475.508703, 4.940828, 0.826606, 0.167301
0.990000, 0.000000, 5.000000, 3061538.732115, 593250.737208, -2473.136656, 5.160615, 1.114627, 0.215987
0.990000, 0.000000, 7.000000, 3822362.917237, 783132.050436, -8795.857580, 4.880866, 1.391624, 0.285118
0.990000, 0.000000, 9.000000, 4501764.335982, 990810.549557, -2038.291181, 4.543517, 1.638976, 0.360729
0.990000, 0.000000, 11.000000, 5215445.899659, 1265059.203095, -1071.537861, 4.122689, 1.898809, 0.460575
1.000000, 0.000000, -2.000000, -34898.223741, 401679.659975, 5758.371290, -0.086881, -0.012453, 0.143331
1.000000, 0.000000, -1.000000, 459997.982746, 386104.921557, 1862.885235, 1.191381, 0.164141, 0.137773
1.000000, 0.000000, 0.000000, 952425.210237, 381953.447412, 2176.313971, 2.493564, 0.339853, 0.136292
1.000000, 0.000000, 1.000000, 1432274.804328, 397923.025594, 3592.654172, 3.599377, 0.511077, 0.141991
1.000000, 0.000000, 2.000000, 1890969.356858, 426340.290309, 3317.208113, 4.435352, 0.674753, 0.152131
1.000000, 0.000000, 3.000000, 2309404.886760, 475983.587872, 5865.427047, 4.851858, 0.824063, 0.169845
1.000000, 0.000000, 5.000000, 3092499.495130, 614067.442323, -205.427830, 5.036091, 1.103494, 0.219117
1.000000, 0.000000, 7.000000, 3883226.672930, 802031.485714, -5338.941015, 4.841738, 1.385648, 0.286188
1.000000, 0.000000, 9.000000, 4602481.719055, 1023109.041692, 828.911020, 4.498525, 1.642299, 0.365075
